sample_num,HF_y-25_z20,HF_y-15_z20,HF_y0_z20,HF_y15_z20,HF_y25_z20,HF_y-25_z50,HF_y-15_z50,HF_y0_z50,HF_y15_z50,HF_y25_z50,HF_y-25_z75,HF_y-15_z75,HF_y0_z75,HF_y15_z75,HF_y25_z75,HF_y-25_z100,HF_y-15_z100,HF_y0_z100,HF_y15_z100,HF_y25_z100,RMSE_z20,RMSE_z50,RMSE_z75,RMSE_z100
Case0_sample0,9.333333451724139,22.116423189655176,50.60292460344828,16.49727987931034,9.426858170689657,4.3643284241379305,8.932243037931036,16.234292137931032,7.01392065862069,4.408187594827585,2.151861543103448,4.316949958620689,6.637798475862069,3.515806727586207,2.271504172413793,1.2039510463793106,2.263595384482757,2.989642760344828,1.9580467327586206,1.2848455291379306,29.604761701190714,14.640919157332156,8.274868679512345,4.223434085286441
Case0_sample1,14.7516435,34.923958534482765,71.33002139655173,25.45622460344828,14.587700413793106,7.5055217396551726,15.846901051724137,27.79209251724138,12.301318955172412,7.533305613793102,3.916290375862068,7.967321501724138,12.006504148275864,6.272601872413794,3.941563234482759,2.1619243655172418,4.014559737931036,5.284101008620689,3.184377322413793,2.0990669948275866,22.977676636045082,9.823398543261073,5.40940543601827,2.853821278379788
Case0_sample2,14.096660706896547,32.64685620689656,69.96633505172413,24.27142263793103,14.00854227586207,7.240780025862068,15.065699103448273,27.31116198275863,11.24127807241379,7.068731705172417,3.7749888793103423,7.443561139655173,11.704807294827585,5.7100563603448276,3.649147662068967,1.9804436172413795,3.618408332758621,5.135553584482757,3.038461079310344,1.9631934965517246,23.78304340018332,10.334200610468633,5.772802784158214,3.022261756259716
Case0_sample3,16.103961155172417,37.88803006896552,77.19281629310342,27.71962810344827,16.035646965517245,8.608241025862068,18.921374431034483,33.52300306896552,13.928526741379311,8.531423267241381,4.574538963793104,9.427734527586207,14.752882667241382,7.17869689137931,4.557296027586206,2.4573775086206897,4.623506543103448,6.343130813793104,3.6657681568965517,2.405951681034482,22.1582471582032,8.960919838537967,4.49988662259527,2.354832402218174
Case0_sample4,7.004012912068966,17.166276672413797,39.60968422413793,12.379997189655173,7.020327606896551,3.2146027689655168,6.934703637931035,11.634270141379307,5.2314603189655156,3.216645296551724,1.7440455948275866,3.498433839655173,4.7986488344827585,2.925475615517243,1.7714924793103455,1.078211540862069,1.9523666775862074,2.3252152224137936,1.662682163793103,1.1001079398275864,33.633765903251074,16.70502621432608,9.129169883628203,4.562184263244263
Case0_sample5,10.615958265517241,25.06673537931035,58.67198487931034,18.73964932758621,10.6367360862069,4.842539167241378,9.641816298275863,17.856374775862072,7.937709982758621,4.943906989655173,2.3889498879310347,4.432365072413793,6.830290403448275,3.8931250931034493,2.490450044827586,1.3050628112068967,2.24481275,2.984047606896551,1.9994802724137926,1.3597181537931031,27.63632298333746,13.839912735761839,8.040774670560364,4.187720472683957
Case0_sample6,11.231626943103448,26.98009572413792,58.82707917241381,19.770668448275863,11.280550844827587,5.363756031034484,11.874207587931034,20.398802310344834,8.492986131034483,5.3331186413793095,2.7303450534482745,5.88473204137931,8.254062151724142,4.2246627,2.7208837758620685,1.50536920862069,2.9673837396551725,3.6396431120689656,2.185265677586207,1.5037776913793102,26.72906265790765,12.809220144819154,7.349129267263862,3.8205814996701193
Case0_sample7,8.637574336206896,20.43083374137931,47.21592968965517,15.038461017241376,8.618419231034483,3.9606559913793102,7.988328779310345,14.264912698275868,6.17795868275862,3.91766645,2.049943377586207,3.8663798551724153,5.583058755172415,3.1075359586206903,1.9918435241379304,1.197375004827586,2.0698450586206887,2.485649575862069,1.6801921224137937,1.1255689960344828,30.879324912109425,15.514814109350754,8.762696981645371,4.475665271589057
Case0_sample8,10.559658222413795,24.38330005172414,53.23969244827586,18.452598275862066,10.635853706896551,5.003263844827586,10.144340750000003,17.454807655172406,7.962899737931037,5.093888225862069,2.523815179310345,4.893631843103447,7.250466831034486,4.033123655172414,2.622082584482759,1.3753399791379308,2.5428382413793105,3.26609583275862,2.1883095275862066,1.4715901672413791,27.99219524078283,13.74767448651628,7.798979087279559,3.9988018206024205
Case0_sample9,12.557669896551726,29.39272470689655,64.35000613793102,22.209767189655174,12.73055268965517,6.17269298448276,12.991254072413797,23.663431258620683,10.354044274137934,6.421881417241381,3.1493699844827594,6.289020537931035,9.932764060344827,5.169131010344829,3.3220692655172424,1.660324965517242,3.185150296551725,4.399918525862069,2.678082915517241,1.763814825862069,25.123098938988573,11.439824550770057,6.513802313953538,3.4188845555231437
Case1_sample0,10.8023196,25.58196263793103,58.49232229310344,19.282461844827587,10.927696513793103,5.165127931034484,10.677348362068965,19.53036415517242,8.723371946551726,5.24602219310345,2.6078695086206896,5.205655862068965,8.057976855172415,4.386278843103448,2.729517418965516,1.4274782234482757,2.7282616379310354,3.57500300862069,2.2806001155172413,1.4976593155172413,27.284048106340478,13.11882008943476,7.446227081889117,3.8617148107244326
Case1_sample1,7.175563079310346,17.314167086206897,40.244071913793114,12.980253310344832,7.298039231034483,3.2166086275862065,6.728323629310345,11.870620627586206,5.398665713793104,3.2988334379310342,1.6702342413793103,3.3945025413793077,4.926522077586206,2.7508602275862066,1.714187429310345,1.0003861344827587,1.8998043867241374,2.2595961,1.5342396298275869,0.9582478687931032,33.2771602293869,16.640977027123743,9.180510817190193,4.654605843434198
Case1_sample2,12.876400068965513,30.08269198275862,65.4088981896552,22.601593189655166,13.002641517241374,6.447439698275863,13.549491668965516,24.660984931034484,10.52651126034483,6.493412568965516,3.31427575862069,6.84768895689655,10.335541515517242,5.521315948275863,3.424728263793103,1.8318053189655172,3.540446603448277,4.703523737931034,2.8438829293103445,1.8602610189655173,24.820012530036255,11.157756934902965,6.220508001528777,3.220081405573364
Case1_sample3,7.940421158620687,19.0122880862069,43.79441184482759,14.010855517241378,7.958187270689655,3.593772594827585,7.535296337931033,12.575856958620694,5.739649158620688,3.6146422189655167,1.8839949879310347,3.822055460344828,5.298285684482759,2.9691278258620692,1.8745130810344823,1.1002659877586207,2.082463193103448,2.546288808620689,1.6425161362068967,1.1300276403448277,32.00818223093789,16.148326207946525,8.913984646782998,4.478242016358945
Case1_sample4,14.737910551724141,34.26245406896551,73.36076596551725,25.701526948275852,14.761126258620685,7.426216670689658,15.593527948275861,29.043714741379315,12.074101129310344,7.477927343103449,3.8573331551724155,7.975868191379312,12.17564309482759,6.059370834482758,3.876742694827585,2.089011987931035,3.9095177913793107,5.222778951724137,3.169347515517242,2.0972446879310347,23.19721463567295,9.933090968521423,5.477140417165833,2.8925596683341546
Case1_sample5,16.113944310344824,37.6624209137931,75.95313050000001,27.805293017241382,16.094925620689658,8.608237951724133,18.231372982758618,31.36844982758622,13.906039844827584,8.592502294827586,4.524470015517241,9.063423539655174,13.854256349999998,7.207861620689655,4.633846353448275,2.4094264948275868,4.601813860344827,6.108717927586206,3.6716390431034487,2.419001312068965,21.951239623508513,8.794289885590507,4.5619318059266,2.403687386283496
Case1_sample6,8.867961182758622,20.842452137931037,48.8465531724138,15.689143517241378,8.982755562068967,4.137330658620688,8.361834370689651,15.354052793103444,6.711718818965521,4.160197887931035,2.1631816982758623,4.013579832758619,6.22066583103448,3.4748728293103444,2.1767517448275857,1.2298669148275865,2.1242532913793104,2.782739420689656,1.8917548482758617,1.2737813115517231,30.376027337443855,15.053943867464502,8.443471835955657,4.309725044937402
Case1_sample7,12.076511655172412,28.150257879310352,59.56153737931034,20.619212137931036,12.012124172413797,6.0426769137931045,12.386769155172415,21.08446291379311,9.386312039655172,5.955141541379311,3.1209786913793107,5.951710956896551,8.810912089655172,4.780599075862068,3.14730641724138,1.6623676465517239,2.9165512931034483,3.9259371224137927,2.586290687931034,1.7852547655172415,25.960910575048473,12.141011948273789,6.93369484666727,3.583510579598757
Case1_sample8,14.35056031034483,33.735674241379314,70.02754255172412,24.809039879310347,14.311784051724139,7.343578760344826,15.472603224137929,26.317010206896544,11.828037618965519,7.355763208620692,3.751320848275863,7.500881318965519,10.846262432758623,6.025586337931034,3.879847327586207,1.9856303051724136,3.6617883344827593,4.643827801724136,3.125134377586206,2.1304207362068968,23.350984881715583,10.096708443416746,5.75488170817241,3.0726682755315884
Case1_sample9,10.143054596551723,24.135412655172416,53.71394891379311,17.912371103448276,10.248798513793101,4.761271691379309,10.061783203448275,17.414165172413792,7.734543808620692,4.865819810344829,2.3970225189655174,5.009033486206895,7.253831155172413,3.729605872413793,2.4283626827586207,1.3461334537931033,2.613807527586207,3.3391471413793106,2.014911762068966,1.2895589306896553,28.333675415904743,13.923099898402741,7.919666228075637,4.050983438335821
