Case_sample,PATH_LENGTH,ANGLE_INCREMENT,NUMBER_RADIATION_ANGLES,HRRPUA,SOOT_YIELD,RADIATIVE_FRACTION,TMPA,EMISSIVITY_Burner,EMISSIVITY_Panel
Case0_sample0,0.1,1.0,367.545137100592,305.9966802908876,0.0220538147957396,0.2756726849467455,14.4590856183432,0.8921842931086978,0.9182375294324072
Case0_sample1,1.0,5.0,845.7280896869307,376.7677572736658,0.0271544329566605,0.3394304119582574,22.428801494782174,0.9199538780077708,0.9072007570974856
Case0_sample2,0.1,1.0,778.1617362169019,366.7679369601015,0.0264337251863136,0.3304215648289202,21.30269560361503,0.8951552857624471,0.8381981482800555
Case0_sample3,0.1,1.0,945.133845294939,391.479809103651,0.0282147610164793,0.3526845127059919,24.085564088248983,0.8585399171047092,0.8881127719247143
Case0_sample4,0.1,5.0,116.01421660668125,268.7701040577888,0.0193708183104712,0.2421352288808908,10.266903610111354,0.8242604952987224,0.8699756596439914
Case0_sample5,1.0,5.0,493.75829324030224,324.6762273995647,0.0234000884612298,0.2925011057653736,16.562638220671705,0.979712857752388,0.961058967048118
Case0_sample6,0.1,1.0,558.2183923760957,334.21632207166215,0.0240876628520116,0.301095785650146,17.636973206268262,0.9659854886946508,0.9839026020045608
Case0_sample7,1.0,1.0,277.05427520806506,292.6040327307936,0.0210885789355526,0.2636072366944086,12.950904586801084,0.8398440650681082,0.8312045513312658
Case0_sample8,0.1,5.0,453.0286795909139,318.64824457945525,0.0229656392489697,0.2870704906121218,15.883811326515232,0.8011332018323979,0.9471430742575924
Case0_sample9,0.1,1.0,668.4961507742745,350.5374303145926,0.0252639589415922,0.3157994867699032,19.47493584623791,0.9375012407152498,0.8036198187777273
Case1_sample0,0.1,5.0,532.1558887596764,330.3590715364321,0.0238096628134365,0.2976207851679568,17.202598145994607,0.980560467350004,0.8011448195110602
Case1_sample1,1.0,5.0,169.94075749436416,276.75123210916587,0.0199460347466065,0.2493254343325819,11.165679291572737,0.9675998075593416,0.8797342202286922
Case1_sample2,0.1,5.0,696.6513387031117,354.7043981280605,0.0255642809461665,0.3195535118270815,19.944188978385192,0.8686556449285809,0.8231372751282064
Case1_sample3,0.1,5.0,240.8832551734889,287.2507217656764,0.0207027547218505,0.2587844340231318,12.34805425289148,0.9381392788442012,0.9849773252399582
Case1_sample4,1.0,1.0,840.7865211366694,376.0364051282271,0.0271017228921244,0.3387715361515559,22.34644201894449,0.9135157782801228,0.9053144698198996
Case1_sample5,1.0,5.0,958.2916695589442,393.42716709472376,0.028355111141962,0.3544388892745259,24.30486115931573,0.9192273137247808,0.9513004247245038
Case1_sample6,0.1,1.0,306.72805519581675,296.99575216898086,0.021405099255422,0.2675637406927755,13.445467586596946,0.8278021006262787,0.8453294287900717
Case1_sample7,0.1,1.0,586.1212184877393,338.34594033618544,0.0243852929972025,0.3048161624650319,18.10202030812899,0.8054956253805016,0.8722660124928092
Case1_sample8,0.1,1.0,786.3930975854854,367.9861784426519,0.0265215263742451,0.3315190796780647,21.43988495975809,0.8525359986150883,0.9545128304869224
Case1_sample9,0.1,5.0,445.7726341558296,317.5743498550628,0.0228882414309955,0.2861030178874439,15.762877235930494,0.8897070729134982,0.9194343578034562
Caseed_sample0,0.1,1.0,367.545137100592,305.9966802908876,0.0220538147957396,0.2756726849467455,14.4590856183432,0.8921842931086978,0.9182375294324072
Caseed_sample1,1.0,5.0,845.7280896869307,376.7677572736658,0.0271544329566605,0.3394304119582574,22.42880149478217,0.9199538780077708,0.9072007570974856
Caseed_sample2,0.1,1.0,778.1617362169019,366.7679369601015,0.0264337251863136,0.3304215648289202,21.30269560361503,0.8951552857624471,0.8381981482800555
Caseed_sample3,0.1,1.0,945.133845294939,391.479809103651,0.0282147610164793,0.3526845127059919,24.085564088248983,0.8585399171047092,0.8881127719247143
Caseed_sample4,0.1,5.0,116.01421660668125,268.7701040577888,0.0193708183104712,0.2421352288808908,10.266903610111354,0.8242604952987224,0.8699756596439914
Caseed_sample5,1.0,5.0,493.75829324030224,324.6762273995647,0.0234000884612298,0.2925011057653736,16.562638220671705,0.979712857752388,0.961058967048118
Caseed_sample6,0.1,1.0,558.2183923760957,334.21632207166215,0.0240876628520116,0.301095785650146,17.636973206268262,0.9659854886946508,0.9839026020045608
Caseed_sample7,1.0,1.0,277.05427520806506,292.6040327307936,0.0210885789355526,0.2636072366944086,12.950904586801084,0.8398440650681082,0.8312045513312658
Caseed_sample8,0.1,5.0,453.0286795909139,318.64824457945525,0.0229656392489697,0.2870704906121218,15.883811326515232,0.8011332018323979,0.9471430742575924
Caseed_sample9,0.1,1.0,668.4961507742745,350.5374303145926,0.0252639589415922,0.3157994867699032,19.47493584623791,0.9375012407152498,0.8036198187777273
Caseed_sample10,0.1,5.0,532.1558887596764,330.3590715364321,0.0238096628134365,0.2976207851679568,17.202598145994607,0.980560467350004,0.8011448195110602
Caseed_sample11,1.0,5.0,169.94075749436416,276.75123210916587,0.0199460347466065,0.2493254343325819,11.165679291572737,0.9675998075593416,0.8797342202286922
Caseed_sample12,0.1,5.0,696.6513387031117,354.7043981280605,0.0255642809461665,0.3195535118270815,19.944188978385192,0.8686556449285809,0.8231372751282064
Caseed_sample13,0.1,5.0,240.8832551734889,287.2507217656764,0.0207027547218505,0.2587844340231318,12.34805425289148,0.9381392788442012,0.9849773252399582
Caseed_sample14,1.0,1.0,840.7865211366694,376.0364051282271,0.0271017228921244,0.3387715361515559,22.34644201894449,0.9135157782801228,0.9053144698198996
Caseed_sample15,1.0,5.0,958.2916695589442,393.42716709472376,0.028355111141962,0.3544388892745259,24.30486115931573,0.9192273137247808,0.9513004247245038
Caseed_sample16,0.1,1.0,306.72805519581675,296.99575216898086,0.021405099255422,0.2675637406927755,13.445467586596946,0.8278021006262787,0.8453294287900717
Caseed_sample17,0.1,1.0,586.1212184877393,338.34594033618544,0.0243852929972025,0.3048161624650319,18.10202030812899,0.8054956253805016,0.8722660124928092
Caseed_sample18,0.1,1.0,786.3930975854854,367.9861784426519,0.0265215263742451,0.3315190796780647,21.43988495975809,0.8525359986150883,0.9545128304869224
Caseed_sample19,0.1,5.0,445.7726341558296,317.5743498550628,0.0228882414309955,0.2861030178874439,15.762877235930494,0.8897070729134982,0.9194343578034562
Caseed_sample20,0.1,1.0,367.545137100592,305.9966802908876,0.0220538147957396,0.2756726849467455,14.4590856183432,0.8921842931086978,0.9182375294324072
Caseed_sample21,1.0,5.0,845.7280896869307,376.7677572736658,0.0271544329566605,0.3394304119582574,22.42880149478217,0.9199538780077708,0.9072007570974856
Caseed_sample22,0.1,1.0,778.1617362169019,366.7679369601015,0.0264337251863136,0.3304215648289202,21.30269560361503,0.8951552857624471,0.8381981482800555
Caseed_sample23,0.1,1.0,945.133845294939,391.479809103651,0.0282147610164793,0.3526845127059919,24.085564088248983,0.8585399171047092,0.8881127719247143
Caseed_sample24,0.1,5.0,116.01421660668125,268.7701040577888,0.0193708183104712,0.2421352288808908,10.266903610111354,0.8242604952987224,0.8699756596439914
Caseed_sample25,1.0,5.0,493.75829324030224,324.6762273995647,0.0234000884612298,0.2925011057653736,16.562638220671705,0.979712857752388,0.961058967048118
Caseed_sample26,0.1,1.0,558.2183923760957,334.21632207166215,0.0240876628520116,0.301095785650146,17.636973206268262,0.9659854886946508,0.9839026020045608
Caseed_sample27,1.0,1.0,277.05427520806506,292.6040327307936,0.0210885789355526,0.2636072366944086,12.950904586801084,0.8398440650681082,0.8312045513312658
Caseed_sample28,0.1,5.0,453.0286795909139,318.64824457945525,0.0229656392489697,0.2870704906121218,15.883811326515232,0.8011332018323979,0.9471430742575924
Caseed_sample29,0.1,1.0,668.4961507742745,350.5374303145926,0.0252639589415922,0.3157994867699032,19.47493584623791,0.9375012407152498,0.8036198187777273
