CASE0__sample0,CASE0__sample1,CASE0__sample10,CASE0__sample11,CASE0__sample12,CASE0__sample13,CASE0__sample14,CASE0__sample15,CASE0__sample16,CASE0__sample17,CASE0__sample18,CASE0__sample19,CASE0__sample2,CASE0__sample3,CASE0__sample4,CASE0__sample5,CASE0__sample6,CASE0__sample7,CASE0__sample8,CASE0__sample9,CASE1__sample0,CASE1__sample1,CASE1__sample10,CASE1__sample11,CASE1__sample12,CASE1__sample13,CASE1__sample14,CASE1__sample15,CASE1__sample16,CASE1__sample17,CASE1__sample18,CASE1__sample19,CASE1__sample2,CASE1__sample3,CASE1__sample4,CASE1__sample5,CASE1__sample6,CASE1__sample7,CASE1__sample8,CASE1__sample9,CASE2__sample0,CASE2__sample1,CASE2__sample10,CASE2__sample11,CASE2__sample12,CASE2__sample13,CASE2__sample14,CASE2__sample15,CASE2__sample16,CASE2__sample17,CASE2__sample18,CASE2__sample19,CASE2__sample2,CASE2__sample3,CASE2__sample4,CASE2__sample5,CASE2__sample6,CASE2__sample7,CASE2__sample8,CASE2__sample9,CASE3__sample0,CASE3__sample1,CASE3__sample10,CASE3__sample11,CASE3__sample12,CASE3__sample13,CASE3__sample14,CASE3__sample15,CASE3__sample16,CASE3__sample17,CASE3__sample18,CASE3__sample19,CASE3__sample2,CASE3__sample3,CASE3__sample4,CASE3__sample5,CASE3__sample6,CASE3__sample7,CASE3__sample8,CASE3__sample9,CASE4__sample0,CASE4__sample1,CASE4__sample10,CASE4__sample11,CASE4__sample12,CASE4__sample13,CASE4__sample14,CASE4__sample15,CASE4__sample16,CASE4__sample17,CASE4__sample18,CASE4__sample19,CASE4__sample2,CASE4__sample3,CASE4__sample4,CASE4__sample5,CASE4__sample6,CASE4__sample7,CASE4__sample8,CASE4__sample9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16524605,0.1729665,0.16589783,0.16831198,0.16926578,0.17383476,0.17073984,0.16737885,0.17352626,0.16989666,0.16779681,0.1668409,0.17179347,0.17225095,0.17050249,0.16953011,0.16651137,0.17153386,0.17244596,0.16851336,0.165636,0.16996801,0.16653589,0.16666434,0.17146602,0.17381293,0.17333942,0.17072874,0.16821745,0.16565745,0.17178021,0.16965201,0.17349683,0.17023844,0.17224868,0.16889087,0.17279161,0.16704054,0.16772586,0.16856913,0.16870982,0.17106693,0.17213259,0.16982452,0.1679676,0.17160217,0.16629009,0.16936706,0.17281948,0.16559399,0.1734193,0.16895985,0.17134679,0.1666006,0.17025684,0.16714215,0.16774647,0.16568218,0.17398196,0.17318907,0.16770287,0.17036847,0.17403396,0.16624885,0.17309844,0.17115389,0.16832868,0.17379001,0.16840646,0.16885448,0.17188024,0.16978845,0.17081182,0.17238055,0.16941158,0.16599383,0.17268538,0.16542075,0.16706057,0.16687818,0.16838623,0.16817326,0.17286525,0.16614287,0.1675275,0.17033367,0.17179324,0.17222875,0.17391946,0.169887,0.16721713,0.16524347,0.17332711,0.16697845,0.17124219,0.16573812,0.17070455,0.17375873,0.16935294,0.16920643
0.78245926,0.82034987,0.78604608,0.79925781,0.80452458,0.82516283,0.80819477,0.79411973,0.82341973,0.80365224,0.79644248,0.79119664,0.81392371,0.8164426,0.80688882,0.80595383,0.78944433,0.81255319,0.81754811,0.80038386,0.7846473,0.80398421,0.78952646,0.79027549,0.8121242,0.82496278,0.82243552,0.80810488,0.79873109,0.78477099,0.81388699,0.80659364,0.8233258,0.80547457,0.81643222,0.802438,0.81942688,0.79227587,0.79605926,0.80071049,0.80142586,0.80999335,0.81576962,0.80752459,0.79741797,0.81294377,0.78819094,0.80507663,0.81952147,0.78436348,0.82279982,0.80280024,0.81156088,0.78992337,0.80555173,0.79285709,0.79620428,0.78486174,0.82588861,0.82155569,0.79593258,0.80617473,0.8262342,0.78796536,0.82109999,0.81045398,0.79935807,0.82485925,0.79979428,0.80228448,0.81446747,0.80732206,0.80857756,0.81720803,0.80527087,0.78656514,0.81887237,0.78347057,0.79242784,0.79142661,0.79968785,0.79852709,0.81978131,0.78738657,0.79494674,0.80604811,0.81395892,0.81638531,0.8256262,0.80361519,0.79324846,0.78244952,0.82232487,0.79200109,0.81096575,0.7851971,0.80802504,0.8247359,0.80501831,0.80415267
1.7418284,1.8325348,1.750839,1.7840621,1.7973094,1.8446306,1.80153,1.771202,1.8404284,1.7896162,1.7770152,1.7638009,1.8162194,1.8226336,1.7982142,1.8008777,1.7592126,1.812432,1.8251319,1.7867692,1.7471583,1.7908028,1.7596014,1.7613241,1.8116437,1.8444404,1.8376493,1.8013218,1.7827555,1.7474652,1.8161049,1.802651,1.8398844,1.7946163,1.8226059,1.792207,1.8298879,1.7664858,1.7758745,1.7876037,1.7896112,1.8060691,1.8208941,1.8049928,1.7792689,1.8134205,1.7562287,1.7986879,1.8304237,1.7466333,1.8388776,1.793119,1.8097997,1.7604089,1.7948249,1.76798,1.7762287,1.7478897,1.8468708,1.8356763,1.7755572,1.7964129,1.8474403,1.7556637,1.8342047,1.8072355,1.7843089,1.844163,1.7852819,1.7916421,1.8173069,1.8044903,1.8024946,1.8242634,1.7993567,1.7521311,1.8284638,1.7441653,1.7666843,1.7641988,1.7850145,1.7820659,1.8311135,1.7541936,1.7732726,1.79577,1.8162846,1.8221956,1.8459035,1.7895136,1.7689614,1.7418021,1.8376601,1.7656106,1.8082775,1.7485523,1.800799,1.8435577,1.7985366,1.7965679
2.7227694,2.8317981,2.737221,2.792768,2.7553136,2.836501,2.8360297,2.7718944,2.8302018,2.8159095,2.7812,2.7591263,2.8059547,2.8162912,2.8306028,2.7607494,2.7856461,2.7994195,2.8196227,2.7369597,2.7651179,2.8184083,2.7866109,2.7546532,2.7984446,2.8366149,2.8393403,2.8357976,2.7905479,2.7656443,2.8056459,2.7640942,2.8428516,2.8245287,2.8162391,2.7473897,2.8275808,2.7639605,2.7793712,2.7382653,2.7420649,2.7870924,2.8136743,2.7680536,2.7844278,2.8009874,2.7461634,2.7575755,2.828778,2.7646263,2.8417225,2.7489474,2.7950216,2.7878348,2.8249593,2.7665395,2.779795,2.7667448,2.840574,2.8366947,2.778831,2.8276885,2.8411958,2.7452253,2.8346122,2.7890706,2.7931594,2.8360867,2.7943683,2.7448919,2.8074075,2.7672408,2.8378889,2.8184297,2.7586527,2.7393235,2.8252149,2.7606013,2.7639437,2.7595278,2.793894,2.7889342,2.8297713,2.7426512,2.7752726,2.82613,2.80594,2.8154779,2.8386064,2.8156768,2.7682805,2.7227104,2.8396271,2.7620376,2.7905732,2.7675606,2.8347448,2.8347831,2.7572843,2.7545566
2.7984082,2.9904213,2.8113395,2.8469688,2.9025736,2.9266191,2.8952536,2.8385205,2.9223681,2.8784644,2.8455671,2.8293216,2.9674057,2.976478,2.8907004,2.9087266,2.8837555,2.9619989,2.9802112,2.8505353,2.8579846,2.8804865,2.8848063,2.8249714,2.9611277,2.92687,2.9981042,2.8943869,2.8538064,2.8588482,2.966991,2.912281,3.0011909,2.8851092,2.9764234,2.8946552,2.9873117,2.8336202,2.8443195,2.8510978,2.8540343,2.9070539,2.97378,2.9160761,2.8489263,2.9632116,2.8184954,2.9045156,2.9881788,2.8576894,3.0003505,2.8960871,2.9579692,2.8855641,2.8855752,2.8360807,2.8443529,2.8425216,2.9297581,2.99582,2.8438884,2.8879789,2.9302055,2.8177327,2.9939148,2.908793,2.8472448,2.9263472,2.8483821,2.8559001,2.9687411,2.9154794,2.8966785,2.9788208,2.9065957,2.8129902,2.9851648,2.8539912,2.8335352,2.8296489,2.8479663,2.8525046,2.9884518,2.8155575,2.8412274,2.8863573,2.9672494,2.9758715,2.9278988,2.878197,2.8375974,2.7983414,2.9982637,2.8314274,2.9106796,2.8432209,2.8933582,2.9252656,2.9042694,2.9021531
2.6803692,2.8173298,2.6903073,2.7332362,2.7491172,2.8131911,2.7735352,2.7207281,2.8084763,2.7625863,2.7263555,2.7049928,2.7920668,2.805884,2.7775681,2.7525188,2.7040526,2.7880721,2.8093875,2.7229685,2.7040112,2.7695741,2.704541,2.7020397,2.7869141,2.8128756,2.8230814,2.7807752,2.73229,2.7041737,2.7917449,2.7543749,2.8252987,2.7729477,2.805844,2.7488676,2.8145482,2.7088697,2.7254112,2.723517,2.7312021,2.7635035,2.7970401,2.7565666,2.7287269,2.7891798,2.6962104,2.7506412,2.8148548,2.7033418,2.8241056,2.7499257,2.7850235,2.7055984,2.7732199,2.7104581,2.7254457,2.6784019,2.8186192,2.8208421,2.7250649,2.7751175,2.8192762,2.6955695,2.8196269,2.7648614,2.733464,2.8124443,2.7348453,2.7335275,2.7935304,2.7566331,2.7746578,2.8080778,2.7505087,2.6916729,2.8129849,2.7008446,2.7092592,2.7056897,2.7346018,2.7317758,2.8156519,2.6940309,2.7229505,2.7745093,2.7919487,2.7987201,2.8175863,2.762387,2.7116804,2.6803152,2.8227698,2.7069882,2.7671748,2.6793681,2.7741079,2.8120312,2.7504159,2.7481472
3.0404145,3.186242,3.0400575,3.096488,3.1152952,3.202683,3.1427954,3.065085,3.1968169,3.1266676,3.0879425,3.057536,3.163997,3.1724933,3.1366167,3.1102034,3.0490459,3.1594193,3.1760693,3.1011419,3.0418552,3.1258449,3.0492742,3.0540078,3.157974,3.2020711,3.1972052,3.1404115,3.0809208,3.0331955,3.163773,3.1122965,3.1999402,3.1314142,3.172452,3.0928841,3.1827545,3.0716344,3.0720389,3.1024311,3.0908194,3.1546808,3.1704905,3.1149586,3.0766703,3.1605903,3.0485156,3.1171174,3.1832437,3.0409204,3.1982745,3.0941444,3.1556511,3.0506477,3.1317986,3.0733543,3.0724891,3.0352387,3.2046535,3.193862,3.0716066,3.1338621,3.2058754,3.0477166,3.1887113,3.1562392,3.0968074,3.20167,3.0983444,3.0937264,3.1658052,3.1147941,3.1440676,3.175085,3.1074077,3.0418071,3.18073,3.0374722,3.0721249,3.0583594,3.0979594,3.0802388,3.1839976,3.045561,3.0678348,3.1335133,3.1640165,3.1725053,3.2038489,3.1265003,3.0747492,3.0403693,3.1967775,3.0604124,3.1545502,3.0363708,3.1428563,3.2012428,3.1169507,3.1139635
3.4382421,3.6036637,3.439946,3.4923399,3.5137991,3.611844,3.5449075,3.4726833,3.6049628,3.5257634,3.4908621,3.4609248,3.5788842,3.5872629,3.5373507,3.5196341,3.4527254,3.5714119,3.591474,3.5083982,3.4310105,3.5257631,3.4531974,3.4567937,3.5699192,3.6112847,3.5991705,3.5431048,3.4881818,3.4348051,3.578686,3.5221089,3.6031955,3.53128,3.5872148,3.508094,3.5990823,3.4640733,3.4803598,3.5095394,3.5040701,3.5661569,3.5869238,3.5297068,3.4840884,3.5746544,3.4481238,3.5160648,3.5996557,3.430176,3.6013742,3.5097141,3.5682697,3.4546098,3.5316373,3.466335,3.4808748,3.4345116,3.615548,3.5965524,3.4798455,3.5342134,3.616451,3.4472032,3.6066573,3.5684527,3.4927367,3.6108312,3.4947558,3.5073355,3.5808702,3.5248081,3.546475,3.5901134,3.5198545,3.4419933,3.5968077,3.4264905,3.4645416,3.461704,3.4942572,3.4872515,3.6016429,3.4450077,3.4758343,3.5334468,3.578975,3.5890583,3.6140182,3.5255916,3.4679571,3.4381956,3.5989284,3.4648269,3.5671523,3.4357844,3.5444969,3.610101,3.5158364,3.5110488
3.8782087,4.0995688,3.8940286,3.9806767,3.9785232,4.0933231,4.0281762,3.9330541,4.0854384,4.0068022,3.9437455,3.9181531,4.0687474,4.0808479,4.0111857,4.0016852,3.910376,4.0627594,4.0859166,3.9838436,3.8989181,3.9976777,3.9110695,3.9139959,4.0610945,4.0927961,4.1079233,4.0165031,3.9659937,3.8884376,4.0684597,4.0055987,4.1117793,4.0048718,4.080791,3.9966722,4.0947097,3.9352393,3.9414997,3.9856735,3.979977,4.0240228,4.0772256,3.9931142,3.959641,4.0636449,3.9038998,3.9812022,4.0956593,3.8978664,4.1097474,3.9983696,4.0571698,3.9127396,4.0051099,3.9377339,3.9420674,3.8890567,4.0983474,4.1032838,3.9409044,4.0077273,4.0996547,3.9028436,4.1029383,4.0259924,3.9811748,4.0922408,3.9829616,3.9839667,4.0709149,4.0092059,4.0300473,4.0842597,3.9824102,3.8964447,4.092381,3.8926339,3.9357328,3.9190372,3.98247,3.9647488,4.0966247,3.9001275,3.9368243,4.0070284,4.068811,4.079692,4.0964233,4.0065631,3.9395586,3.8781521,4.1078041,3.9218767,4.0541211,3.8904094,4.0144592,4.091266,3.9810159,3.9779425
