CASE0__sample0,CASE0__sample1,CASE0__sample10,CASE0__sample11,CASE0__sample12,CASE0__sample13,CASE0__sample14,CASE0__sample15,CASE0__sample16,CASE0__sample17,CASE0__sample18,CASE0__sample19,CASE0__sample2,CASE0__sample20,CASE0__sample21,CASE0__sample22,CASE0__sample23,CASE0__sample24,CASE0__sample25,CASE0__sample26,CASE0__sample27,CASE0__sample28,CASE0__sample29,CASE0__sample3,CASE0__sample30,CASE0__sample31,CASE0__sample32,CASE0__sample33,CASE0__sample34,CASE0__sample35,CASE0__sample36,CASE0__sample37,CASE0__sample38,CASE0__sample39,CASE0__sample4,CASE0__sample5,CASE0__sample6,CASE0__sample7,CASE0__sample8,CASE0__sample9,CASE1__sample0,CASE1__sample1,CASE1__sample10,CASE1__sample11,CASE1__sample12,CASE1__sample13,CASE1__sample14,CASE1__sample15,CASE1__sample16,CASE1__sample17,CASE1__sample18,CASE1__sample19,CASE1__sample2,CASE1__sample20,CASE1__sample21,CASE1__sample22,CASE1__sample23,CASE1__sample24,CASE1__sample25,CASE1__sample26,CASE1__sample27,CASE1__sample28,CASE1__sample29,CASE1__sample3,CASE1__sample30,CASE1__sample31,CASE1__sample32,CASE1__sample33,CASE1__sample34,CASE1__sample35,CASE1__sample36,CASE1__sample37,CASE1__sample38,CASE1__sample39,CASE1__sample4,CASE1__sample5,CASE1__sample6,CASE1__sample7,CASE1__sample8,CASE1__sample9,CASE2__sample0,CASE2__sample1,CASE2__sample10,CASE2__sample11,CASE2__sample12,CASE2__sample13,CASE2__sample14,CASE2__sample15,CASE2__sample16,CASE2__sample17,CASE2__sample18,CASE2__sample19,CASE2__sample2,CASE2__sample20,CASE2__sample21,CASE2__sample22,CASE2__sample23,CASE2__sample24,CASE2__sample25,CASE2__sample26,CASE2__sample27,CASE2__sample28,CASE2__sample29,CASE2__sample3,CASE2__sample30,CASE2__sample31,CASE2__sample32,CASE2__sample33,CASE2__sample34,CASE2__sample35,CASE2__sample36,CASE2__sample37,CASE2__sample38,CASE2__sample39,CASE2__sample4,CASE2__sample5,CASE2__sample6,CASE2__sample7,CASE2__sample8,CASE2__sample9,CASE3__sample0,CASE3__sample1,CASE3__sample10,CASE3__sample11,CASE3__sample12,CASE3__sample13,CASE3__sample14,CASE3__sample15,CASE3__sample16,CASE3__sample17,CASE3__sample18,CASE3__sample19,CASE3__sample2,CASE3__sample20,CASE3__sample21,CASE3__sample22,CASE3__sample23,CASE3__sample24,CASE3__sample25,CASE3__sample26,CASE3__sample27,CASE3__sample28,CASE3__sample29,CASE3__sample3,CASE3__sample30,CASE3__sample31,CASE3__sample32,CASE3__sample33,CASE3__sample34,CASE3__sample35,CASE3__sample36,CASE3__sample37,CASE3__sample38,CASE3__sample39,CASE3__sample4,CASE3__sample5,CASE3__sample6,CASE3__sample7,CASE3__sample8,CASE3__sample9,CASE4__sample0,CASE4__sample1,CASE4__sample10,CASE4__sample11,CASE4__sample12,CASE4__sample13,CASE4__sample14,CASE4__sample15,CASE4__sample16,CASE4__sample17,CASE4__sample18,CASE4__sample19,CASE4__sample2,CASE4__sample20,CASE4__sample21,CASE4__sample22,CASE4__sample23,CASE4__sample24,CASE4__sample25,CASE4__sample26,CASE4__sample27,CASE4__sample28,CASE4__sample29,CASE4__sample3,CASE4__sample30,CASE4__sample31,CASE4__sample32,CASE4__sample33,CASE4__sample34,CASE4__sample35,CASE4__sample36,CASE4__sample37,CASE4__sample38,CASE4__sample39,CASE4__sample4,CASE4__sample5,CASE4__sample6,CASE4__sample7,CASE4__sample8,CASE4__sample9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19670705,0.2347022,0.26913007,0.20565067,0.3153006,0.2534537,0.25830909,0.24636711,0.21892677,0.29821125,0.22575918,0.25189987,0.17244021,0.29270312,0.17720551,0.22029574,0.16384183,0.2753049,0.20130643,0.23261887,0.2116656,0.27761599,0.24419468,0.21439694,0.18909687,0.18135611,0.19798986,0.26332091,0.28900412,0.3043651,0.28543925,0.30859336,0.28313809,0.29561064,0.16861192,0.19301715,0.26813173,0.22671702,0.1839899,0.30818971,0.19316754,0.24799435,0.25749699,0.21306811,0.25373875,0.31298371,0.20846058,0.16961181,0.17514803,0.31221791,0.18674146,0.19717103,0.18006054,0.17217019,0.22002913,0.2708764,0.217167,0.16492255,0.27857196,0.28556788,0.24537744,0.30449566,0.29514002,0.23456038,0.20767614,0.26293128,0.28002402,0.29959507,0.30655804,0.23125454,0.2922975,0.27345025,0.25136356,0.19075261,0.18221895,0.22719394,0.22507667,0.26647717,0.28665893,0.2041343,0.16682143,0.21023918,0.28841333,0.18869779,0.24947123,0.29241463,0.24786333,0.22998073,0.26498972,0.1757311,0.22334372,0.20645101,0.19355632,0.31281278,0.16525312,0.27974648,0.19774716,0.27646911,0.17249114,0.21265915,0.30877717,0.24327697,0.18072672,0.30057277,0.29455389,0.18294687,0.21840418,0.25253815,0.1904675,0.20402579,0.2560455,0.22244021,0.27187832,0.2737973,0.23392826,0.303155,0.23352912,0.28463702,0.30841587,0.26367935,0.2126355,0.29952534,0.28394005,0.22813942,0.23013326,0.25755866,0.18404239,0.22198772,0.16928191,0.19767651,0.2545177,0.20330414,0.27876103,0.28027421,0.29126133,0.2449654,0.16656385,0.29436822,0.28957904,0.25114006,0.19572171,0.18903259,0.23826882,0.26796934,0.21876664,0.17288172,0.17463071,0.27127464,0.22566678,0.26524546,0.20990393,0.27567982,0.19028176,0.23611445,0.17938631,0.31173937,0.31470666,0.30719853,0.30179714,0.2067497,0.21000964,0.29982109,0.31405895,0.29266855,0.17325827,0.24802413,0.16927265,0.26135859,0.31050609,0.18388291,0.28379466,0.19237108,0.22355045,0.18608832,0.2531952,0.22168488,0.23892759,0.18112414,0.23296165,0.30332841,0.17672388,0.27739744,0.29648055,0.30572904,0.27548996,0.26844943,0.26526919,0.21519691,0.19541002,0.1991707,0.28732831,0.16554392,0.20404457,0.23407275,0.28179273,0.22681111,0.24910998,0.26310188,0.21650629,0.20559251
0.95569604,1.1536869,1.3068898,0.98966226,1.5839086,1.22181,1.2654724,1.1833336,1.0642571,1.451859,1.1193135,1.2136366,0.81269614,1.4406038,0.83847287,1.0874818,0.77482397,1.339565,0.97817655,1.1605619,1.0234635,1.3371895,1.171935,1.0387213,0.90141931,0.86926702,0.96292953,1.2576014,1.3987346,1.4862725,1.3792272,1.5097719,1.3847467,1.4358018,0.79218994,0.93468053,1.3016923,1.1256138,0.87382047,1.5381236,0.92383601,1.1922286,1.2434726,1.0458971,1.2376408,1.5366451,1.019147,0.79770283,0.82731052,1.5650666,0.88859618,0.94576223,0.86198071,0.82054846,1.0858663,1.3002663,1.0691531,0.78053039,1.3595526,1.3996748,1.1910584,1.4865724,1.4567852,1.1721039,1.0010755,1.2700214,1.3673709,1.4851834,1.4987551,1.1341246,1.4172312,1.330741,1.2250247,0.92195135,0.86416801,1.1110488,1.0988761,1.2911553,1.3864392,0.99424504,0.78270859,1.0153826,1.3961496,0.91017176,1.2003905,1.4391987,1.2050584,1.1448605,1.2664308,0.84040258,1.0891948,1.0072998,0.93752813,1.5351058,0.78239245,1.3658581,0.94881268,1.3302392,0.82218041,1.0434574,1.5108253,1.1665879,0.85605249,1.4653113,1.4517439,0.868162,1.0763608,1.2168526,0.90886074,0.98078955,1.2361313,1.0838617,1.3207188,1.3311813,1.1677244,1.5075408,1.1468284,1.3931568,1.5409989,1.276258,1.028757,1.4845048,1.3712054,1.134072,1.1452467,1.2440904,0.87411122,1.0973112,0.79576895,0.94834441,1.2430513,0.97664877,1.3594101,1.3515682,1.4323345,1.1756941,0.7895215,1.45052,1.4230506,1.2238433,0.94978286,0.90116908,1.1944018,1.301925,1.0633192,0.81524568,0.82462038,1.3023378,1.102162,1.2843035,1.0134802,1.3417918,0.91910348,1.1814512,0.85855365,1.5638951,1.5466159,1.5336193,1.4720623,1.0093293,1.0280504,1.4866011,1.5778047,1.4199869,0.81725048,1.2058952,0.80458139,1.2613658,1.5562966,0.87320166,1.3702322,0.93084961,1.1068785,0.88526608,1.2347908,1.0956245,1.1985083,0.85825913,1.1435262,1.5086365,0.83575193,1.3359869,1.4411501,1.4942058,1.3417152,1.2864652,1.2682281,1.0580833,0.94824379,0.96959018,1.390109,0.78402835,0.99349667,1.169304,1.3782994,1.1261848,1.198527,1.2717796,1.0657373,1.0026366
2.2070123,2.723895,3.0633872,2.3091277,3.7035606,2.8972123,3.0089825,2.7919787,2.5108151,3.5080223,2.5922249,2.873664,1.8812833,3.393074,1.9500673,2.5080442,1.7643248,3.1307429,2.2561699,2.7020573,2.3998502,3.1959077,2.7600391,2.4413114,2.1133946,1.9999051,2.2258835,3.0101031,3.3685431,3.5983877,3.3151305,3.6648077,3.2493046,3.469853,1.8434795,2.1524633,3.0489559,2.6070765,2.0388683,3.6095028,2.1738002,2.816221,2.9574877,2.4350603,2.9370436,3.7282424,2.3642106,1.8581733,1.9202505,3.6604006,2.078844,2.2336435,1.9806889,1.8824221,2.5038998,3.0964569,2.4602663,1.7792179,3.2175004,3.2822772,2.808916,3.6015575,3.4272329,2.733984,2.3396888,2.9633664,3.2031428,3.4916367,3.6320502,2.7028371,3.4192836,3.1309134,2.8996085,2.1193053,2.0130089,2.6393332,2.6059238,3.0186724,3.3327201,2.2982184,1.8180128,2.3778856,3.35885,2.0894374,2.8375752,3.3895329,2.8463131,2.6593293,3.0340616,1.9341697,2.5792466,2.3346471,2.1606482,3.726819,1.7840054,3.1990754,2.2421878,3.1790743,1.8871415,2.4286794,3.6675772,2.7465474,1.9914582,3.5440707,3.4213674,2.0236939,2.4788162,2.8836276,2.1335069,2.2851548,2.9359401,2.565299,3.1078528,3.1369241,2.7239543,3.5386933,2.7382229,3.2707022,3.6308556,3.0126209,2.4142053,3.4901128,3.2926203,2.6296772,2.6621271,2.9581471,2.0396529,2.5341762,1.853102,2.2409437,2.9484753,2.2740861,3.2233224,3.2383428,3.3710495,2.771187,1.8024355,3.4182695,3.3421556,2.8960495,2.192516,2.1126839,2.7944193,3.0537676,2.5082034,1.8880052,1.9129672,3.1032622,2.6153392,3.0349643,2.3731688,3.1364904,2.1127331,2.7592128,1.9708643,3.6664053,3.7548897,3.6143253,3.5622964,2.338225,2.3876812,3.4942904,3.6964436,3.4246906,1.8933161,2.8485698,1.8409789,3.0139948,3.6497036,2.0373633,3.2900476,2.1432554,2.5573168,2.0696787,2.9289392,2.5295957,2.8054815,1.9973209,2.7291124,3.5413508,1.9427978,3.1927068,3.4826044,3.6197591,3.1317238,3.0607134,3.0391458,2.467191,2.1876777,2.2433877,3.3426023,1.7882221,2.2979904,2.726146,3.2650493,2.6085667,2.8323515,3.0392935,2.4494144,2.3205805
3.1871052,4.0229888,4.2426387,3.3917313,4.0339319,4.1556365,4.1343287,4.0012002,3.6372014,4.8504271,3.6791865,4.1191233,2.9038293,4.5404681,2.9115263,3.5708705,2.6795545,4.3693963,3.2586574,3.790293,3.5275595,4.6242936,3.9522533,3.5342041,3.1111717,3.0302419,3.2137115,4.3410914,4.8719465,4.9159049,4.7955456,5.0037061,4.4442231,4.8961433,2.8271186,3.1059796,4.2286924,3.6834867,3.0127627,4.1851265,3.2043291,4.0361901,4.2389054,3.5223285,4.0625877,5.0773224,3.4173358,2.849612,2.8637694,4.0472723,3.0571473,3.2984711,3.0009841,2.8233555,3.5657102,4.4705536,3.5085223,2.665854,4.5107271,4.4273635,4.0022704,4.9241897,4.4816087,3.8210394,3.4388158,4.1289599,4.4075502,4.4104206,4.9581495,3.8356327,4.8265328,4.3064681,4.0020322,3.0578343,2.9802329,3.8298503,3.7794883,4.2001897,4.8161689,3.3181536,2.7856514,3.4947163,4.8529906,3.1070168,4.0656865,4.536485,3.9350113,3.742487,4.334728,2.9021042,3.7396076,3.3790522,3.1258959,5.0821429,2.6733164,4.3998221,3.3135783,4.604281,2.8351409,3.513909,5.0070455,3.9339048,2.9477062,4.8540867,4.5518525,2.9890598,3.5347391,4.1354607,3.1431123,3.3551076,4.2110074,3.7201542,4.301988,4.3423819,3.8279517,4.3000844,3.8899604,4.4665228,4.1405679,4.3865704,3.5492638,4.4115383,4.7615684,3.7093523,3.7613019,4.2447704,3.0140103,3.6045247,2.8266754,3.3117366,4.0601848,3.3380759,4.5607845,4.6802544,4.5301963,3.9702023,2.7027343,4.5499573,4.4701641,3.9983389,3.1731442,3.1099413,3.8849895,4.3369564,3.6334677,2.9133658,2.8935164,4.4819398,3.7957363,4.4162644,3.489579,4.3704024,3.0544356,3.8446436,2.9806256,3.9288447,5.1080074,4.1496157,4.878779,3.3760242,3.4538658,4.4021715,3.9113826,4.9422024,2.8619691,3.9385203,2.7590801,4.1845656,3.9889048,3.0119095,4.757916,3.0988718,3.6240112,3.040774,4.0524086,3.5992832,3.8959051,2.9567313,3.8767099,4.2993552,2.8999951,4.6197845,4.8990059,4.9420854,4.3358312,4.4210968,4.3455723,3.5661485,3.1588654,3.2411497,4.8295894,2.6797588,3.3262667,3.8132053,4.5372075,3.685586,4.0577292,4.201658,3.4849097,3.3497703
3.3211332,3.8809729,4.304883,3.4825905,4.2964867,4.063099,4.1347858,3.9586024,3.6382192,4.5490505,3.7463324,4.0445136,2.976238,4.557799,3.049396,3.6480992,2.8359895,4.4140045,3.3429445,3.8154983,3.5999373,4.3516727,3.9350279,3.5556241,3.2155871,3.0575559,3.2873681,4.2007684,4.5499137,4.5659437,4.4955002,4.6391426,4.5118976,4.4986391,2.9528862,3.247502,4.2937271,3.7409527,3.1967247,4.3250438,3.2865045,3.984305,4.1106478,3.5412911,4.0908341,4.695871,3.4517162,2.9711368,3.0061468,4.2895703,3.1657761,3.3671181,3.0566353,2.9369858,3.6443322,4.2794678,3.5933475,2.8005603,4.4540668,4.4916965,4.0112289,4.5798857,4.5036312,3.8459154,3.5229873,4.2093367,4.4425915,4.4667237,4.5981683,3.8071234,4.4585683,4.3425124,4.0516665,3.2030535,3.0855956,3.7462841,3.7194061,4.2679959,4.5039074,3.3907164,2.9399518,3.5698934,4.5315675,3.1724085,4.0042146,4.6038185,3.9974922,3.7920419,4.198027,3.0020936,3.7035587,3.4249883,3.2147859,4.706334,2.806538,4.4343695,3.3828833,4.3433213,2.9518982,3.5342858,4.6425461,3.9249837,3.0604126,4.5168124,4.5675777,3.1742197,3.6158009,4.0477953,3.2358392,3.4705227,4.1142507,3.6741942,4.3470302,4.3726382,3.8606846,4.3033973,3.8365035,4.5318668,4.2674789,4.2497827,3.6191684,4.4689839,4.4709402,3.7642058,3.795955,4.1390593,3.1978693,3.6788221,2.9030976,3.3815612,4.0761855,3.4565445,4.4794105,4.3967737,4.5886277,3.9353483,2.8306601,4.5666262,4.5262392,4.0472973,3.2575546,3.213146,3.9040169,4.3709931,3.6359376,2.9823189,3.043964,4.2872165,3.7217982,4.2767214,3.5678706,4.3846507,3.2071702,3.8669603,3.0848899,4.1367573,4.715707,4.2681948,4.5337258,3.4376288,3.4820517,4.4612637,4.110642,4.5914938,3.0141568,4.0002562,2.8716079,4.1969648,4.1946914,3.1661962,4.4693145,3.1915642,3.6903678,3.1483642,4.0752797,3.6731618,3.9134076,3.0674145,3.8269019,4.3025103,3.0391943,4.3484055,4.6245856,4.5841305,4.4029294,4.2467592,4.2007448,3.5829521,3.296486,3.3094953,4.5151162,2.8114559,3.403459,3.838352,4.5178039,3.7425423,3.9972931,4.2324987,3.5613845,3.4175489
3.2009277,3.6751626,4.2661794,3.20945,5.0797843,3.8713641,4.1179851,3.7889098,3.4255231,4.7031803,3.6097607,3.8821691,2.7605814,4.6186007,2.8054118,3.5210077,2.6683817,4.3339962,3.2296498,3.7155364,3.3042501,4.2984099,3.7894091,3.3828207,2.9658203,2.9276372,3.1752143,4.0342978,4.4937735,4.7940476,4.4408611,4.8548753,4.4888588,4.6546387,2.7103606,3.1473787,4.25191,3.6301816,2.9208829,4.8627359,3.0158326,3.8160356,3.9362455,3.3994351,4.0349005,4.8882933,3.3042648,2.7243468,2.7738076,5.0213533,2.9304492,3.0807836,2.9124155,2.7805199,3.5170083,4.1843313,3.4741006,2.6819372,4.458955,4.5426382,3.8512604,4.7933894,4.66759,3.7405208,3.2416925,4.1719004,4.429549,4.7134088,4.827199,3.6312428,4.5916984,4.3518249,3.9519842,3.1130166,2.8830353,3.5322324,3.4959597,4.2193955,4.4296201,3.2781747,2.6656915,3.281554,4.4904175,3.0673317,3.8398945,4.6358837,3.8975702,3.6821823,4.0653264,2.8377315,3.4722822,3.2698897,3.1356543,4.8965201,2.6787943,4.4253853,3.0893382,4.2800989,2.7890555,3.3933309,4.8583737,3.7749333,2.8595242,4.7391782,4.6627885,2.903216,3.4854541,3.8567913,2.9747869,3.2181915,3.9139059,3.461333,4.2699672,4.2959451,3.726843,4.7644182,3.6672795,4.5142121,4.905575,4.1553423,3.3420939,4.7126775,4.3874124,3.6473406,3.6625954,3.9377139,2.9217638,3.5477218,2.7155313,3.0885763,4.0541291,3.1898933,4.4041308,4.3354925,4.617292,3.7743466,2.7000727,4.6599023,4.6041566,3.9492202,3.1374169,2.9649246,3.7974906,4.2448157,3.422802,2.7643922,2.7989721,4.1895272,3.506746,4.1749411,3.2773941,4.4005803,3.1053223,3.7655847,2.9128069,5.0288479,4.9187033,4.8794573,4.7613946,3.3200076,3.3303156,4.7008365,5.0276354,4.5549087,2.7849556,3.9001979,2.7402176,4.1370806,4.974404,2.8848404,4.3850414,3.1257828,3.5843861,2.916915,4.0234189,3.5445971,3.8074208,2.8665789,3.6580008,4.7672067,2.798331,4.2951779,4.6335589,4.8164994,4.3880208,4.14465,4.0687833,3.4332784,3.1873919,3.1945654,4.4398891,2.6832574,3.2773469,3.7321269,4.4391453,3.6334708,3.8346975,4.1504813,3.4662472,3.3015028
3.6297183,4.3688489,4.9488549,3.7955715,5.8703494,4.6334477,4.7633591,4.5107986,4.0716112,5.5273854,4.1890219,4.6302669,3.144245,5.4176127,3.2430666,4.0813721,2.999196,5.0779286,3.7187183,4.3467409,3.9125155,5.125588,4.4850939,3.9970183,3.4964468,3.3369548,3.6520897,4.8306341,5.3368345,5.6614211,5.2652537,5.7096693,5.2618154,5.4714338,3.0859492,3.5761113,4.9331029,4.2085142,3.3550109,5.7227134,3.5410519,4.5618459,4.714587,3.9680938,4.6779455,5.8054693,3.8558872,3.1063722,3.1929975,5.8041695,3.4399717,3.6167981,3.3196689,3.1488334,4.0761587,4.9921712,4.058852,3.0200599,5.1606783,5.3044453,4.494528,5.6372637,5.504608,4.3639415,3.8336435,4.8196972,5.1771246,5.5646169,5.677929,4.2986681,5.4060109,5.0487643,4.6216678,3.5323257,3.3230548,4.2104944,4.168935,4.8792965,5.2722166,3.772535,3.0403688,3.8848664,5.3283319,3.4911979,4.5743704,5.4075264,4.5437836,4.2764728,4.8683812,3.216865,4.1395641,3.8157307,3.5692838,5.7849993,3.0114772,5.1728969,3.6274252,5.0967056,3.1517196,3.9606052,5.7139142,4.4680675,3.2938036,5.580451,5.4513699,3.3534853,4.0621987,4.6153459,3.5058992,3.790601,4.6848657,4.120133,4.9995773,5.0350404,4.3617083,5.626801,4.3430764,5.2914713,5.7142185,4.8461672,3.9583519,5.5690846,5.2141215,4.2368673,4.2697426,4.717402,3.3559848,4.1178906,3.098037,3.6257395,4.7112926,3.7459244,5.1494914,5.1557016,5.4271853,4.50479,3.0369536,5.4471964,5.3866519,4.6160156,3.6057344,3.495326,4.4544209,4.934661,4.063098,3.1533077,3.186522,4.9937005,4.1786447,4.8659769,3.876718,5.0888796,3.5208481,4.3906347,3.2973291,5.7919314,5.8390526,5.7056869,5.6061212,3.8350616,3.8870185,5.573711,5.8632315,5.4144808,3.1748831,4.5467277,3.081035,4.7958502,5.7450255,3.3826484,5.2109642,3.5637122,4.1916619,3.4285668,4.6825018,4.1108872,4.4668987,3.3017088,4.3318989,5.6302437,3.2326771,5.1215244,5.4865736,5.6906303,5.095822,4.9435968,4.8654783,4.0089909,3.6222769,3.6764143,5.2896567,3.0182266,3.7597615,4.3556723,5.2086624,4.2089288,4.5685314,4.8258099,4.0548941,3.8128587
4.1170928,4.9873024,5.6307615,4.3192416,6.7193466,5.3400123,5.4036284,5.1641348,4.6039783,6.3548994,4.7717332,5.3087026,3.5818849,6.2077417,3.6931134,4.6442547,3.3798107,5.7763678,4.2204214,4.9250346,4.4400396,5.8506557,5.1140199,4.5168198,3.9375945,3.7694151,4.144892,5.5355974,6.1154269,6.4965682,6.0380287,6.5919931,5.9608985,6.2700241,3.4860315,4.0261042,5.6464147,4.796846,3.8298817,6.560803,4.0345365,5.2185074,5.4122411,4.4711778,5.2881519,6.7075106,4.3926426,3.5090088,3.6420368,6.644995,3.89563,4.1259801,3.7471262,3.5643333,4.6373781,5.7169229,4.576898,3.4033766,5.8529951,6.0158437,5.1269047,6.5117138,6.268643,4.9767284,4.3609197,5.4809531,5.8924995,6.3566362,6.5464709,4.9098689,6.194764,5.7256803,5.2555439,3.9875604,3.7904897,4.8125856,4.7642207,5.566003,6.0657086,4.2866427,3.4581203,4.4085889,6.1054762,3.9359007,5.2367625,6.2001125,5.161096,4.8688678,5.5538218,3.6587046,4.7256856,4.3371247,4.0482865,6.683845,3.4183926,5.8865557,4.1389377,5.8276871,3.5865952,4.4747381,6.5955174,5.0957725,3.7578341,6.4032464,6.2532799,3.8124982,4.6057035,5.3194236,3.9747476,4.2804898,5.4013405,4.7005798,5.6971881,5.7411348,4.9635591,6.4340492,4.9620215,6.0128357,6.583626,5.4980586,4.4638789,6.3497507,6.0237033,4.8256768,4.8770017,5.4144112,3.8310852,4.685016,3.5114773,4.137203,5.3049368,4.2639512,5.8642402,5.937904,6.1538334,5.1319879,3.4489737,6.2462565,6.1167965,5.234121,4.1061839,3.936308,5.0501101,5.5855279,4.6004202,3.5918777,3.6180509,5.7230624,4.7755636,5.5315766,4.42495,5.7872057,3.9758882,5.0105342,3.7241436,6.6579367,6.7474209,6.5585897,6.432108,4.3353266,4.4170663,6.3569485,6.7284692,6.2065335,3.5877222,5.1639231,3.5196637,5.4472552,6.6230625,3.8377731,6.0200728,4.0218821,4.7109935,3.8825859,5.2759428,4.6783621,5.0819118,3.7666885,4.9488019,6.4382508,3.6821895,5.8437992,6.2909136,6.5296585,5.7805123,5.6609955,5.5621151,4.5310976,4.0877878,4.184009,6.081167,3.4258703,4.2813337,4.9664013,5.9374971,4.7977041,5.2278938,5.4875248,4.584246,4.3092343
4.7118937,5.7368775,6.4789824,4.9653646,7.7633798,6.1362408,6.2461002,5.9349711,5.3026882,7.2800847,5.4840302,6.0743689,4.1032042,7.1071179,4.2107411,5.3596131,3.8573684,6.637075,4.8454509,5.692928,5.1261367,6.7194026,5.8782169,5.2035718,4.5188469,4.3154032,4.7417302,6.3422947,7.0433309,7.4526286,6.9290905,7.5671755,6.845376,7.2255189,3.9902863,4.611984,6.4414129,5.5341645,4.3922446,7.5346269,4.6215175,5.9793634,6.2436523,5.1404831,6.1117337,7.6811769,5.0180869,4.0260585,4.1610815,7.6172742,4.4733045,4.7274664,4.2782647,4.0725873,5.3528324,6.5606478,5.2492623,3.9081719,6.7433855,6.9050107,5.9016734,7.4635297,7.155812,5.7396236,5.0053865,6.3175959,6.7690035,7.277446,7.5148559,5.6228934,7.1378886,6.5929119,6.0406893,4.5541874,4.3456949,5.5151437,5.4736959,6.3984108,6.9993583,4.9203775,3.9414229,5.0748623,7.0495039,4.5175435,6.0313677,7.0853884,5.9651714,5.589311,6.420426,4.1697494,5.4280763,4.982099,4.6419496,7.6840343,3.9008075,6.7798265,4.7564339,6.7124603,4.0679672,5.1343428,7.5712935,5.8505496,4.3077214,7.3589291,7.167482,4.3840306,5.2825161,6.112284,4.5525117,4.902696,6.1984495,5.3888984,6.5443066,6.6334613,5.7200224,7.375487,5.6900735,6.903256,7.4935512,6.3164588,5.1540423,7.2711003,6.9074078,5.5436607,5.5987365,6.2455191,4.3935972,5.3942041,4.0213964,4.7544399,6.1453132,4.8842067,6.7524404,6.8292724,7.0507369,5.8965803,3.9529453,7.140396,7.0029765,6.0368283,4.6860517,4.5176017,5.8175637,6.4539942,5.2976749,4.1152564,4.1448301,6.5549712,5.4760134,6.3572163,5.0873328,6.6456102,4.5576721,5.7769416,4.2596227,7.6022388,7.767854,7.4661493,7.3921068,4.9902181,5.0810134,7.2840826,7.6876959,7.1686016,4.108065,5.971277,3.9943256,6.2534047,7.5737971,4.3926163,6.9031904,4.5982438,5.4210601,4.4567009,6.1111257,5.3867035,5.8478886,4.3182047,5.6746858,7.3802354,4.1979343,6.721006,7.2580159,7.4931905,6.6600706,6.4974228,6.3965502,5.1991213,4.6767598,4.800191,7.020616,3.9240701,4.9058911,5.7212913,6.8306013,5.5220601,6.024875,6.3273384,5.2515081,4.9447089
